Week,trump,hillary
2016-06-26,4,1
2016-07-03,5,3
2016-07-10,6,2
2016-07-17,21,3
2016-07-24,12,7
2016-07-31,14,3
2016-08-07,9,2
2016-08-14,7,2
2016-08-21,6,2
2016-08-28,7,2
2016-09-04,6,2
2016-09-11,7,7
2016-09-18,7,3
2016-09-25,15,6
2016-10-02,14,3
2016-10-09,26,6
2016-10-16,18,6
2016-10-23,13,5
2016-10-30,16,8
2016-11-06,100,22
2016-11-13,32,3
2016-11-20,15,2
2016-11-27,11,1
2016-12-04,10,1
2016-12-11,9,1
2016-12-18,9,1
2016-12-25,7,1
2017-01-01,8,1
2017-01-08,16,1
2017-01-15,37,1
2017-01-22,36,1
2017-01-29,32,1
2017-02-05,20,1
2017-02-12,19,1
2017-02-19,14,0
2017-02-26,14,0
2017-03-05,10,0
2017-03-12,10,0
2017-03-19,11,0
2017-03-26,9,0
2017-04-02,10,0
2017-04-09,9,0
2017-04-16,8,0
2017-04-23,8,0
2017-04-30,8,1
2017-05-07,9,0
2017-05-14,12,1
2017-05-21,14,1
2017-05-28,14,1
2017-06-04,10,1
2017-06-11,9,0
2017-06-18,7,0
